               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.057776,            0.044143,           0.0059227,             0.94407,             0.80151,             0.85948,             0.56409,            0.052234,            0.065158,           0.0054404,            0.007756,            0.007756,            0.007756
                  70,            0.058381,             0.04484,            0.005978,             0.94238,             0.80342,             0.86082,             0.56028,            0.052381,            0.065925,           0.0054106,            0.007723,            0.007723,            0.007723
                  71,            0.058222,            0.044864,           0.0059441,             0.94549,             0.80161,             0.85929,             0.56216,            0.052356,             0.06509,           0.0054118,             0.00769,             0.00769,             0.00769
                  72,            0.058441,            0.044963,           0.0059968,              0.9467,             0.79916,             0.86122,             0.56274,            0.052217,            0.065309,           0.0054389,            0.007657,            0.007657,            0.007657
                  73,            0.058273,            0.044757,            0.005942,             0.94803,             0.80004,             0.86384,              0.5679,            0.052029,            0.064986,           0.0053898,            0.007624,            0.007624,            0.007624
                  74,            0.057826,            0.044624,           0.0059506,             0.94582,             0.79906,             0.85874,             0.56241,            0.052313,            0.065238,           0.0054119,            0.007591,            0.007591,            0.007591
                  75,            0.057725,            0.044875,           0.0059242,             0.94519,             0.80101,             0.86117,             0.56205,            0.052256,            0.065799,           0.0054333,            0.007558,            0.007558,            0.007558
                  76,            0.057624,            0.044342,           0.0058741,              0.9451,             0.80311,             0.86265,             0.56863,            0.051953,            0.064778,           0.0053828,            0.007525,            0.007525,            0.007525
                  77,            0.057963,            0.044954,           0.0059118,              0.9431,             0.80159,             0.85942,             0.56367,            0.052064,            0.065125,           0.0053711,            0.007492,            0.007492,            0.007492
                  78,            0.057487,            0.043791,             0.00591,             0.94698,             0.80136,              0.8599,             0.56596,            0.052039,            0.065187,           0.0053757,            0.007459,            0.007459,            0.007459
                  79,            0.057761,            0.044421,             0.00593,             0.94487,             0.80345,             0.86111,             0.56655,            0.051967,            0.065335,           0.0053863,            0.007426,            0.007426,            0.007426
                  80,            0.057865,            0.044834,           0.0059534,             0.94256,             0.80653,             0.86263,             0.56986,            0.051831,            0.064599,           0.0053545,            0.007393,            0.007393,            0.007393
                  81,            0.057528,            0.043873,           0.0059399,             0.94652,             0.80475,             0.86599,             0.56928,            0.051867,            0.065438,           0.0053719,             0.00736,             0.00736,             0.00736
                  82,            0.057539,            0.044183,            0.005872,             0.94472,             0.80331,             0.86241,             0.56685,            0.051938,            0.065142,           0.0053524,            0.007327,            0.007327,            0.007327
                  83,             0.05736,            0.044018,           0.0059319,             0.94767,             0.80431,             0.86607,             0.57163,            0.051704,            0.064648,           0.0053372,            0.007294,            0.007294,            0.007294
                  84,            0.057633,            0.044204,           0.0058818,             0.95072,             0.80079,             0.86439,             0.57105,            0.051786,            0.065251,           0.0053673,            0.007261,            0.007261,            0.007261
                  85,            0.057482,             0.04441,           0.0058546,             0.94444,             0.80377,             0.86252,             0.57133,            0.051715,             0.06493,           0.0053302,            0.007228,            0.007228,            0.007228
                  86,            0.057384,            0.043474,           0.0058862,             0.94388,              0.8075,             0.86568,             0.57254,            0.051733,            0.065287,           0.0053241,            0.007195,            0.007195,            0.007195
                  87,            0.056737,            0.043724,           0.0058355,             0.94501,             0.80577,             0.86469,             0.57148,            0.051604,            0.064897,           0.0053364,            0.007162,            0.007162,            0.007162
