               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.059741,            0.043274,           0.0059969,             0.94881,             0.76119,             0.83965,              0.5545,            0.052603,            0.059379,           0.0054713,            0.008317,            0.008317,            0.008317
                  53,            0.059789,            0.043082,            0.006023,             0.94767,             0.76275,             0.83604,             0.54984,             0.05263,            0.059066,           0.0054602,            0.008284,            0.008284,            0.008284
                  54,            0.060023,            0.043174,           0.0060498,             0.91797,             0.68461,             0.77164,             0.46779,            0.059789,            0.070868,           0.0068091,            0.008251,            0.008251,            0.008251
                  55,            0.059839,            0.043316,           0.0059982,             0.95013,             0.76073,             0.83767,             0.55676,            0.052484,            0.058085,           0.0054622,            0.008218,            0.008218,            0.008218
                  56,            0.059583,            0.042723,            0.005983,             0.95001,             0.76583,             0.84046,             0.55223,             0.05266,            0.059629,           0.0055045,            0.008185,            0.008185,            0.008185
                  57,            0.059453,            0.042248,           0.0059669,             0.94968,             0.76854,             0.84108,              0.5571,             0.05249,            0.058376,           0.0054554,            0.008152,            0.008152,            0.008152
                  58,            0.059625,            0.043088,           0.0060261,             0.95412,              0.7641,             0.84141,             0.55745,            0.052474,            0.059202,           0.0055105,            0.008119,            0.008119,            0.008119
                  59,            0.059134,            0.041626,           0.0059321,             0.95245,              0.7627,             0.83807,             0.55355,            0.052532,            0.059174,           0.0054171,            0.008086,            0.008086,            0.008086
                  60,            0.059047,            0.042153,            0.005936,             0.95101,             0.76832,             0.83984,             0.55298,            0.052481,            0.059109,           0.0054931,            0.008053,            0.008053,            0.008053
                  61,            0.059456,            0.042397,           0.0060152,             0.95065,             0.76735,             0.83925,             0.55688,            0.052241,            0.058233,           0.0054303,             0.00802,             0.00802,             0.00802
                  62,            0.059079,             0.04192,           0.0059624,             0.95343,             0.76592,             0.84477,             0.56189,            0.052206,            0.058153,           0.0054273,            0.007987,            0.007987,            0.007987
                  63,            0.059312,            0.042084,           0.0059877,               0.952,             0.76692,             0.84276,             0.55854,            0.052267,            0.058733,           0.0054072,            0.007954,            0.007954,            0.007954
                  64,            0.059083,            0.041945,           0.0059293,             0.94868,             0.76779,             0.83974,             0.55519,            0.052342,            0.058916,           0.0053826,            0.007921,            0.007921,            0.007921
                  65,            0.058747,            0.041991,           0.0058742,             0.95284,             0.76568,              0.8431,             0.56168,            0.052139,             0.05833,           0.0053903,            0.007888,            0.007888,            0.007888
                  66,            0.058762,            0.041835,           0.0058536,              0.9528,             0.76906,             0.84313,             0.55761,            0.052332,             0.05942,           0.0054041,            0.007855,            0.007855,            0.007855
                  67,            0.058863,            0.041654,           0.0059731,             0.95143,             0.77072,              0.8444,             0.55969,            0.052046,            0.058537,           0.0054009,            0.007822,            0.007822,            0.007822
                  68,            0.058396,            0.041134,           0.0058798,             0.95414,             0.77064,             0.84426,             0.55877,             0.05219,            0.058846,           0.0054193,            0.007789,            0.007789,            0.007789
                  69,            0.057809,            0.040999,           0.0058188,             0.95549,             0.76421,              0.8439,             0.55896,            0.052266,            0.059166,           0.0053565,            0.007756,            0.007756,            0.007756
                  70,             0.05865,            0.041572,           0.0058858,             0.95373,             0.77016,             0.84313,             0.56046,            0.052139,            0.058778,           0.0054133,            0.007723,            0.007723,            0.007723
                  71,            0.058245,            0.041336,           0.0058286,             0.95352,             0.76641,              0.8439,             0.56088,            0.052041,            0.058007,           0.0053527,             0.00769,             0.00769,             0.00769
                  72,            0.058489,            0.041272,           0.0058294,             0.95194,             0.77302,             0.84757,             0.56576,            0.051882,            0.057768,           0.0053599,            0.007657,            0.007657,            0.007657
                  73,             0.05782,            0.041262,           0.0058215,             0.95521,             0.77494,             0.84712,             0.56405,             0.05192,            0.058261,           0.0053238,            0.007624,            0.007624,            0.007624
                  74,            0.057817,            0.041088,           0.0058609,             0.95625,             0.77193,             0.84699,             0.56475,             0.05179,            0.058226,           0.0053636,            0.007591,            0.007591,            0.007591
                  75,            0.058039,            0.041117,           0.0058251,             0.95513,             0.76925,              0.8448,             0.55957,            0.051945,            0.058531,           0.0053643,            0.007558,            0.007558,            0.007558
                  76,            0.057583,            0.040856,           0.0058043,             0.95292,             0.77134,             0.84745,             0.56241,            0.051911,            0.058372,           0.0053627,            0.007525,            0.007525,            0.007525
                  77,            0.057839,             0.04103,             0.00579,             0.95619,             0.77242,              0.8481,             0.56689,            0.051713,            0.058224,           0.0053375,            0.007492,            0.007492,            0.007492
                  78,            0.057524,            0.040274,           0.0057891,              0.9528,             0.77623,             0.84609,             0.56269,            0.051884,            0.058816,           0.0053188,            0.007459,            0.007459,            0.007459
                  79,            0.057331,              0.0408,            0.005823,             0.95743,             0.77196,             0.84563,             0.56174,            0.051792,            0.058863,           0.0053537,            0.007426,            0.007426,            0.007426
                  80,            0.058134,            0.041166,           0.0058625,             0.95259,             0.77415,             0.84678,             0.56534,            0.051693,            0.058273,           0.0053417,            0.007393,            0.007393,            0.007393
                  81,            0.057526,            0.040708,           0.0058601,             0.95669,             0.77042,               0.847,             0.56674,            0.051537,            0.057625,           0.0052849,             0.00736,             0.00736,             0.00736
                  82,             0.05723,            0.040333,           0.0057443,             0.95801,             0.77117,             0.84734,              0.5658,            0.051549,            0.058105,           0.0053247,            0.007327,            0.007327,            0.007327
                  83,            0.057202,            0.040167,           0.0058302,             0.95884,             0.77239,             0.85107,             0.57095,            0.051471,            0.058057,           0.0053403,            0.007294,            0.007294,            0.007294
                  84,             0.05773,            0.040512,           0.0057659,             0.95376,             0.77404,             0.85023,               0.568,              0.0516,            0.058966,           0.0053227,            0.007261,            0.007261,            0.007261
                  85,            0.057458,            0.040754,           0.0058312,             0.95706,             0.77523,             0.84887,             0.56831,            0.051523,            0.058051,           0.0052904,            0.007228,            0.007228,            0.007228
                  86,            0.056931,             0.04007,           0.0057104,              0.9559,             0.77514,             0.84981,             0.56771,            0.051473,            0.058114,           0.0053097,            0.007195,            0.007195,            0.007195
                  87,            0.056985,            0.040003,           0.0057564,             0.95597,             0.77461,              0.8508,             0.56992,            0.051416,            0.058451,           0.0053096,            0.007162,            0.007162,            0.007162
                  88,            0.057372,            0.040951,           0.0058338,             0.95993,             0.77176,             0.85421,             0.57159,            0.051532,            0.058166,           0.0052924,            0.007129,            0.007129,            0.007129
                  89,            0.057558,            0.041159,           0.0058041,             0.95452,             0.77741,             0.84986,             0.56846,            0.051362,            0.058126,           0.0052761,            0.007096,            0.007096,            0.007096
                  90,             0.05734,            0.039905,           0.0057724,             0.95795,             0.77462,             0.84914,             0.56781,            0.051405,            0.058146,           0.0052808,            0.007063,            0.007063,            0.007063
                  91,             0.05698,            0.040479,            0.005831,             0.95593,             0.77891,             0.85413,             0.56978,            0.051354,            0.058639,           0.0052941,             0.00703,             0.00703,             0.00703
                  92,            0.057018,            0.040138,           0.0058098,             0.95501,             0.77652,             0.85047,             0.56513,            0.051537,            0.058523,           0.0052726,            0.006997,            0.006997,            0.006997
                  93,            0.056406,             0.03956,           0.0056568,             0.95516,             0.77794,             0.85267,             0.57227,            0.051291,            0.057838,           0.0052655,            0.006964,            0.006964,            0.006964
                  94,            0.056867,            0.039798,           0.0057875,             0.95931,             0.77683,             0.85336,             0.57134,            0.051381,            0.058175,           0.0052642,            0.006931,            0.006931,            0.006931
