               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.051124,            0.039572,           0.0050622,             0.95381,              0.7712,             0.84519,             0.56289,            0.046702,            0.056802,            0.004713,            0.007426,            0.007426,            0.007426
                  80,             0.05164,            0.039745,           0.0050857,             0.95553,             0.77061,             0.84788,             0.56854,            0.046542,             0.05614,           0.0046743,            0.007393,            0.007393,            0.007393
                  81,            0.051238,            0.039452,           0.0050977,             0.95465,             0.77373,             0.84937,             0.56742,            0.046583,            0.056191,           0.0046741,             0.00736,             0.00736,             0.00736
                  82,            0.050976,            0.039179,           0.0050066,             0.95817,             0.77273,             0.84759,             0.57055,            0.046436,             0.05598,           0.0047009,            0.007327,            0.007327,            0.007327
                  83,            0.051006,            0.038966,           0.0050825,             0.95963,             0.76822,             0.84693,             0.56564,            0.046702,            0.056658,           0.0047118,            0.007294,            0.007294,            0.007294
                  84,            0.051299,            0.039152,           0.0050207,              0.9588,             0.76959,             0.84824,             0.56831,            0.046633,            0.057021,           0.0047189,            0.007261,            0.007261,            0.007261
                  85,            0.051245,            0.039614,           0.0050783,             0.95264,             0.77313,             0.84594,             0.56433,            0.046584,            0.056834,           0.0046623,            0.007228,            0.007228,            0.007228
                  86,            0.050669,            0.038786,           0.0049576,             0.95524,             0.77171,             0.84915,             0.57015,            0.046518,            0.056635,           0.0046846,            0.007195,            0.007195,            0.007195
                  87,            0.050611,             0.03878,           0.0050034,             0.95665,             0.77449,                0.85,             0.56824,            0.046484,            0.056754,           0.0046665,            0.007162,            0.007162,            0.007162
                  88,            0.051043,            0.039566,           0.0050586,             0.95899,             0.77446,             0.85029,             0.57002,            0.046483,            0.056403,           0.0046674,            0.007129,            0.007129,            0.007129
                  89,            0.051201,            0.039871,           0.0050268,             0.95831,             0.77402,             0.85307,             0.57173,            0.046358,            0.056546,           0.0046411,            0.007096,            0.007096,            0.007096
                  90,            0.050983,            0.038658,           0.0050044,              0.9567,             0.77224,             0.84814,             0.56679,              0.0465,            0.056569,           0.0046963,            0.007063,            0.007063,            0.007063
                  91,            0.050586,            0.039213,           0.0050553,             0.95999,             0.77513,             0.85312,             0.56967,            0.046486,            0.056894,           0.0046923,             0.00703,             0.00703,             0.00703
                  92,            0.050691,            0.038857,           0.0050267,             0.95634,              0.7715,             0.84972,             0.56974,             0.04635,             0.05621,           0.0046565,            0.006997,            0.006997,            0.006997
                  93,            0.050003,            0.038193,           0.0048957,             0.95725,             0.77483,             0.85093,             0.56948,            0.046465,             0.05669,           0.0046499,            0.006964,            0.006964,            0.006964
                  94,             0.05068,            0.038656,           0.0050138,              0.9577,             0.77122,             0.85312,              0.5752,             0.04628,            0.056051,           0.0046459,            0.006931,            0.006931,            0.006931
                  95,            0.050529,            0.038854,           0.0050197,             0.95977,             0.77391,             0.85229,             0.57142,            0.046355,            0.056538,           0.0046703,            0.006898,            0.006898,            0.006898
                  96,            0.050417,            0.038407,            0.004947,             0.95903,             0.77145,              0.8527,             0.57032,            0.046378,            0.057035,           0.0046706,            0.006865,            0.006865,            0.006865
                  97,            0.050449,            0.039127,           0.0049997,             0.95814,              0.7734,             0.85219,             0.57133,            0.046302,             0.05647,           0.0046265,            0.006832,            0.006832,            0.006832
                  98,            0.050438,            0.038457,           0.0050029,             0.95788,             0.77625,             0.85258,             0.57005,            0.046449,            0.056629,           0.0046288,            0.006799,            0.006799,            0.006799
                  99,            0.050487,            0.038974,            0.005031,             0.95829,             0.77507,             0.84965,             0.57025,            0.046365,            0.056486,           0.0046416,            0.006766,            0.006766,            0.006766
                 100,            0.050452,            0.038426,           0.0049835,             0.95505,             0.77637,             0.85183,             0.57126,            0.046221,            0.056487,           0.0046203,            0.006733,            0.006733,            0.006733
                 101,            0.050482,            0.039112,           0.0049654,             0.95871,             0.77575,             0.85299,             0.57143,            0.046265,            0.056713,           0.0046353,              0.0067,              0.0067,              0.0067
                 102,            0.050244,            0.038308,           0.0049538,             0.95854,              0.7749,             0.85365,             0.57363,            0.046251,            0.056525,           0.0046565,            0.006667,            0.006667,            0.006667
                 103,            0.050351,             0.03803,            0.004996,             0.95757,             0.77751,             0.85192,             0.57244,            0.046207,            0.056287,           0.0046164,            0.006634,            0.006634,            0.006634
                 104,            0.050124,            0.038411,           0.0049744,             0.96031,             0.77306,             0.85393,             0.57596,            0.046137,            0.056119,           0.0046407,            0.006601,            0.006601,            0.006601
                 105,            0.050225,            0.038572,           0.0049011,             0.95896,             0.77391,             0.85524,             0.57366,            0.046132,            0.056471,           0.0046356,            0.006568,            0.006568,            0.006568
                 106,            0.050208,            0.038577,           0.0048803,             0.95883,             0.77762,             0.85281,             0.57175,            0.046167,              0.0565,           0.0046309,            0.006535,            0.006535,            0.006535
                 107,            0.050068,            0.038308,             0.00498,              0.9611,             0.77522,             0.85286,             0.57142,            0.046261,            0.056566,           0.0046109,            0.006502,            0.006502,            0.006502
                 108,            0.050164,            0.038449,           0.0049884,             0.95901,             0.77941,             0.85602,              0.5745,            0.046095,            0.056441,           0.0046179,            0.006469,            0.006469,            0.006469
                 109,            0.050347,            0.038644,           0.0049637,             0.95892,             0.77802,             0.85557,             0.57194,            0.046245,            0.056782,           0.0046181,            0.006436,            0.006436,            0.006436
                 110,            0.050083,            0.038361,           0.0050117,             0.95754,             0.78046,               0.856,             0.57448,            0.046075,            0.056517,           0.0045885,            0.006403,            0.006403,            0.006403
                 111,            0.049733,            0.037682,           0.0049786,             0.95954,             0.77634,             0.85495,             0.57411,            0.046054,              0.0567,           0.0046123,             0.00637,             0.00637,             0.00637
                 112,            0.049953,            0.038361,            0.004944,             0.95968,             0.77752,             0.85601,             0.57526,            0.046033,            0.056486,           0.0046032,            0.006337,            0.006337,            0.006337
                 113,            0.049971,            0.038842,           0.0049484,             0.96017,             0.77714,             0.85555,             0.57449,            0.046005,            0.056209,           0.0046082,            0.006304,            0.006304,            0.006304
                 114,            0.049844,             0.03808,            0.004951,             0.96018,             0.77774,             0.85546,             0.57362,            0.046043,            0.056538,           0.0045881,            0.006271,            0.006271,            0.006271
                 115,            0.049831,            0.038129,           0.0049081,             0.96182,             0.77808,             0.85696,             0.57581,            0.046004,            0.056505,           0.0046127,            0.006238,            0.006238,            0.006238
                 116,            0.049511,            0.038157,           0.0049579,             0.95872,             0.78118,              0.8563,             0.57489,            0.046043,            0.056458,           0.0045942,            0.006205,            0.006205,            0.006205
                 117,            0.049654,            0.038133,            0.004921,             0.95939,             0.77959,             0.85532,             0.57322,            0.046063,            0.056799,           0.0045879,            0.006172,            0.006172,            0.006172
