               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.035802,            0.014821,           0.0028976,             0.94329,             0.82417,             0.88732,             0.57037,            0.033696,            0.022745,           0.0026888,             0.00835,             0.00835,             0.00835
                  52,            0.035398,            0.014742,           0.0028464,             0.94421,             0.82898,             0.89044,             0.57505,            0.033574,            0.022843,           0.0026751,            0.008317,            0.008317,            0.008317
                  53,            0.035389,            0.014517,           0.0028609,             0.93969,             0.82694,             0.88559,             0.57561,            0.033504,            0.022717,           0.0026691,            0.008284,            0.008284,            0.008284
                  54,            0.035479,            0.014821,           0.0028444,             0.94417,             0.82817,             0.88871,             0.57378,            0.033532,            0.022618,           0.0026589,            0.008251,            0.008251,            0.008251
                  55,            0.035369,            0.014747,            0.002838,             0.94492,             0.82764,             0.88907,             0.57461,            0.033534,            0.023022,           0.0026572,            0.008218,            0.008218,            0.008218
                  56,            0.035119,            0.014542,           0.0028052,             0.94349,             0.82867,              0.8902,             0.57444,            0.033521,            0.022896,           0.0026509,            0.008185,            0.008185,            0.008185
                  57,            0.035202,            0.014308,           0.0028535,             0.94519,             0.82593,             0.88961,             0.57777,            0.033379,            0.022727,           0.0026566,            0.008152,            0.008152,            0.008152
                  58,            0.034996,            0.014718,           0.0027944,             0.94322,             0.82657,             0.88838,             0.57661,            0.033295,            0.022676,           0.0026316,            0.008119,            0.008119,            0.008119
                  59,            0.034928,             0.01422,           0.0027657,             0.94242,             0.83035,             0.88904,             0.57769,             0.03321,            0.022562,           0.0026165,            0.008086,            0.008086,            0.008086
                  60,            0.034894,            0.014417,           0.0028335,             0.94668,             0.82781,             0.88859,             0.57678,            0.033298,            0.022693,           0.0026299,            0.008053,            0.008053,            0.008053
                  61,            0.034916,            0.014408,           0.0028215,             0.94463,             0.83049,             0.88921,             0.57555,            0.033251,            0.022678,            0.002607,             0.00802,             0.00802,             0.00802
                  62,            0.034663,            0.014194,           0.0027677,             0.94273,             0.83307,             0.89163,             0.57872,            0.033198,            0.022777,           0.0026243,            0.007987,            0.007987,            0.007987
                  63,            0.034735,            0.014318,           0.0028057,             0.94805,             0.83096,              0.8908,              0.5797,            0.033192,            0.022704,           0.0026055,            0.007954,            0.007954,            0.007954
                  64,             0.03473,            0.014243,           0.0027747,             0.94882,             0.82961,             0.89064,              0.5774,            0.033198,            0.022818,            0.002613,            0.007921,            0.007921,            0.007921
                  65,             0.03444,            0.014186,            0.002737,             0.94781,             0.82948,             0.88988,             0.57909,            0.033149,            0.022731,           0.0026185,            0.007888,            0.007888,            0.007888
                  66,            0.034473,            0.014236,           0.0027177,             0.94304,             0.83281,             0.89177,             0.57932,            0.033301,            0.022832,           0.0026128,            0.007855,            0.007855,            0.007855
                  67,            0.034645,            0.014341,           0.0027445,              0.9443,              0.8329,             0.89005,             0.57973,            0.033073,            0.022612,           0.0025998,            0.007822,            0.007822,            0.007822
                  68,            0.034168,            0.013982,            0.002753,             0.94541,             0.82957,             0.88882,             0.57584,            0.033176,            0.022946,            0.002612,            0.007789,            0.007789,            0.007789
                  69,            0.034372,             0.01401,           0.0027327,             0.94746,             0.83202,             0.89324,             0.58276,            0.032992,            0.022599,           0.0025818,            0.007756,            0.007756,            0.007756
                  70,            0.034207,            0.014026,           0.0027221,             0.94569,               0.832,             0.89194,             0.57952,            0.033009,            0.022811,           0.0025922,            0.007723,            0.007723,            0.007723
                  71,            0.034164,            0.014083,           0.0027079,             0.94592,             0.83096,             0.89167,             0.58434,            0.032863,             0.02255,             0.00258,             0.00769,             0.00769,             0.00769
                  72,            0.034435,            0.014199,           0.0027672,             0.94814,             0.83436,             0.89316,             0.58177,            0.032925,             0.02274,           0.0025795,            0.007657,            0.007657,            0.007657
                  73,            0.034284,            0.014189,            0.002684,             0.94585,             0.83334,             0.89105,             0.58019,            0.032949,            0.022693,           0.0025838,            0.007624,            0.007624,            0.007624
                  74,            0.033987,             0.01401,           0.0027353,             0.94844,             0.83268,             0.89215,             0.58218,            0.032833,            0.022645,           0.0025749,            0.007591,            0.007591,            0.007591
                  75,            0.033882,             0.01418,            0.002733,             0.94684,             0.83386,             0.89263,             0.58198,            0.032927,            0.022852,           0.0025648,            0.007558,            0.007558,            0.007558
                  76,            0.033705,            0.013941,           0.0026627,              0.9473,             0.83245,             0.89006,             0.58197,            0.032752,            0.022578,           0.0025752,            0.007525,            0.007525,            0.007525
                  77,             0.03393,            0.014095,           0.0026647,             0.94869,              0.8341,             0.89375,             0.58325,            0.032861,            0.022758,           0.0025577,            0.007492,            0.007492,            0.007492
                  78,            0.033823,             0.01389,           0.0026888,             0.94873,             0.83249,              0.8933,              0.5853,            0.032724,            0.022659,           0.0025397,            0.007459,            0.007459,            0.007459
                  79,            0.033877,            0.014064,           0.0026871,             0.94685,             0.83078,             0.89222,             0.58101,            0.032886,            0.022774,           0.0025644,            0.007426,            0.007426,            0.007426
                  80,            0.033878,            0.014133,            0.002702,             0.94692,             0.83553,             0.89202,               0.583,            0.032809,            0.022712,           0.0025578,            0.007393,            0.007393,            0.007393
                  81,            0.033869,            0.013891,           0.0027246,             0.95045,             0.83106,             0.89346,             0.58495,            0.032645,            0.022671,           0.0025576,             0.00736,             0.00736,             0.00736
                  82,            0.033653,            0.013916,           0.0026793,             0.94664,             0.83408,              0.8927,             0.58286,            0.032798,            0.022918,           0.0025587,            0.007327,            0.007327,            0.007327
